Sampe-ID;Mg Concentration;Al Concentration;Si Concentration;P Concentration;S Concentration;K Concentration;Ca Concentration;Ti Concentration;V Concentration;Cr Concentration;Mn Concentration;Fe Concentration;Co Concentration;Ni Concentration;Cu Concentration;Zn Concentration;As Concentration;Se Concentration;Rb Concentration;Sr Concentration;Y Concentration;Zr Concentration;Nb Concentration;Mo Concentration;Ag Concentration;Cd Concentration;Sn Concentration;Sb Concentration;Ba Concentration;La Concentration;Ce Concentration;Pr Concentration;Nd Concentration;Ta Concentration;W Concentration;Au Concentration;Hg Concentration;Pb Concentration;Bi Concentration;Th Concentration;U Concentration;LE Concentration
sample-29;NaN;NaN;NaN;0;3239;3034;702112;334;35;9;619;4964;0;0;39;17;5;0;15;3381;16;0;0;0;0;0;0;0;530;0;0;0;0;0;0;0;0;15;0;0;0;NaN
sample-30;NaN;NaN;NaN;0;3824;3118;693375;341;40;0;613;4683;0;26;33;20;5;0;14;2980;15;45;0;0;0;0;0;0;488;0;0;0;0;0;0;0;0;13;0;0;0;NaN
sample-31;NaN;NaN;NaN;0;3551;2741;716024;323;36;0;537;4964;0;27;42;20;0;0;14;3020;29;0;0;0;0;0;0;0;320;0;0;0;0;0;0;0;0;15;0;0;0;NaN
sample-32;NaN;NaN;NaN;0;4225;3035;685660;312;33;0;593;4894;0;0;38;19;6;0;17;3223;16;0;0;0;0;0;0;0;403;0;0;0;0;0;0;0;7;13;0;0;0;NaN
sample-33;NaN;NaN;NaN;0;3534;2782;688408;317;35;0;548;4372;0;0;35;19;4;0;14;2657;12;49;0;0;0;0;0;0;439;0;0;0;0;0;0;0;0;11;0;0;0;NaN
sample-34;NaN;NaN;NaN;0;4126;2656;680211;482;31;0;697;6734;0;0;34;29;6;0;14;2893;0;0;0;0;0;0;0;0;351;0;0;0;0;0;0;0;0;13;0;0;0;NaN
sample-35;NaN;NaN;NaN;0;4095;3203;729696;523;39;8;891;8538;0;0;31;30;9;0;16;3192;23;0;0;0;0;0;0;0;375;0;0;0;0;0;0;0;0;14;0;0;0;NaN
sample-36;NaN;NaN;NaN;0;3346;2669;680370;499;35;0;774;6773;0;0;26;24;6;0;14;2504;0;33;0;0;0;0;0;0;417;0;0;0;0;0;0;0;8;10;0;0;0;NaN
sample-37;NaN;NaN;NaN;0;4947;3615;631729;675;44;8;1070;11699;0;21;46;35;8;0;21;3496;18;49;0;0;0;0;0;0;539;0;0;0;0;0;0;0;0;23;0;0;0;NaN
sample-38;NaN;NaN;NaN;0;3953;3435;642882;592;41;0;1060;9441;0;0;44;27;9;0;16;2894;20;0;0;0;0;0;0;0;487;0;0;0;0;0;0;0;0;14;0;0;0;NaN
sample-39;NaN;NaN;NaN;0;3589;3603;672461;654;47;9;1103;11549;0;34;47;36;9;0;17;3361;19;0;0;0;0;0;0;0;346;0;0;0;0;0;0;0;0;21;0;0;0;NaN
sample-40;NaN;NaN;NaN;0;4477;3895;598055;977;41;8;376;10705;62;0;26;30;6;0;20;2796;19;64;0;0;0;0;0;0;435;0;0;0;0;0;0;0;0;8;0;0;0;NaN
sample-41;NaN;NaN;NaN;0;3835;3944;616354;980;39;8;391;10800;0;0;29;24;0;0;14;2467;12;64;0;0;0;0;0;0;424;0;0;0;0;0;0;0;0;10;0;0;0;NaN
sample-42;NaN;NaN;NaN;0;3595;3544;620818;1038;43;0;380;10696;0;0;31;27;5;0;14;2689;17;49;0;0;0;0;0;0;442;0;0;0;0;0;0;0;0;9;0;0;0;NaN
sample-43;NaN;NaN;NaN;0;4295;3602;574443;1251;34;0;350;13525;70;0;25;29;5;0;17;2429;21;82;0;0;0;0;0;0;354;200;0;0;0;0;0;0;0;7;0;0;0;NaN
sample-44;NaN;NaN;NaN;0;4210;3886;624140;1361;41;0;405;15366;64;0;28;32;0;0;17;2165;13;66;0;0;0;0;0;0;344;0;0;0;0;0;0;0;0;8;0;0;0;NaN
sample-45;NaN;NaN;NaN;0;3430;3640;588176;1377;41;0;428;14938;0;0;27;31;4;0;14;2307;15;59;0;0;0;0;0;0;357;0;0;0;0;0;0;0;0;8;0;0;0;NaN
sample-46;NaN;NaN;NaN;0;3423;3502;627189;880;43;0;436;10107;0;0;36;28;6;0;17;3110;0;75;0;0;0;0;0;0;461;0;0;0;0;0;0;0;0;9;0;0;0;NaN
sample-47;NaN;NaN;NaN;0;2897;3943;661926;979;45;0;462;11981;0;0;42;29;8;0;15;3089;23;71;0;0;0;0;0;0;501;0;0;0;0;0;0;0;0;6;0;0;0;NaN
sample-48;NaN;NaN;NaN;0;2939;3592;640254;921;43;0;436;11084;63;0;27;25;0;0;14;3079;25;0;0;0;0;0;0;0;535;0;0;0;0;0;0;0;0;11;0;0;0;NaN
sample-49;NaN;NaN;NaN;0;3101;2363;703039;233;27;0;611;3280;0;0;36;14;4;0;13;2959;20;53;0;0;0;0;0;0;397;0;0;0;0;0;0;0;0;11;0;0;0;NaN
sample-50;NaN;NaN;NaN;0;3006;2430;723624;279;31;0;731;3639;0;0;34;20;5;0;14;2942;22;48;0;0;0;0;0;0;424;0;0;0;0;0;0;0;0;10;0;0;0;NaN
sample-51;NaN;NaN;NaN;0;3054;2349;731585;272;31;0;721;3682;0;0;31;18;4;0;13;2719;21;41;0;0;0;0;0;39;437;0;0;0;0;0;0;0;0;11;0;0;0;NaN
sample-52;NaN;NaN;NaN;0;2532;2267;732267;227;22;0;577;2664;0;0;35;16;5;0;14;3447;27;0;0;0;0;0;0;0;306;0;0;0;0;0;0;0;0;8;0;0;0;NaN
sample-53;NaN;NaN;NaN;0;2637;2412;773563;235;29;0;546;2536;0;0;30;16;0;0;14;3780;30;0;0;0;0;0;0;0;423;0;0;0;0;0;0;0;0;12;0;0;0;NaN
sample-54;NaN;NaN;NaN;0;3279;2254;749918;228;29;0;553;2485;0;31;33;16;0;0;11;3288;35;0;0;0;0;0;0;0;423;0;0;0;0;0;0;0;0;11;0;0;0;NaN
sample-55;NaN;NaN;NaN;0;2274;3789;685534;699;45;0;1156;9728;0;0;35;31;7;0;12;2854;26;56;0;0;13;0;0;0;489;0;0;0;0;0;0;0;0;16;0;0;0;NaN
