Sample-ID;Mg Concentration;Al Concentration;Si Concentration;P Concentration;S Concentration;K Concentration;Ca Concentration;Ti Concentration;V Concentration;Cr Concentration;Mn Concentration;Fe Concentration;Co Concentration;Ni Concentration;Cu Concentration;Zn Concentration;As Concentration;Se Concentration;Rb Concentration;Sr Concentration;Y Concentration;Zr Concentration;Nb Concentration;Mo Concentration;Ag Concentration;Cd Concentration;Sn Concentration;Sb Concentration;Ba Concentration;La Concentration;Ce Concentration;Pr Concentration;Nd Concentration;Ta Concentration;W Concentration;Au Concentration;Hg Concentration;Pb Concentration;Bi Concentration;Th Concentration;U Concentration;LE Concentration
sample-27;0;3330;20031;0;963;520;381124;631;33;0;848;6222;0;0;49;22;0;0;11;1534;14;31;11;18;0;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;0;0;0;15;0;48;0;584545
sample-28;0;3164;15563;216;1196;316;402360;543;38;0;1117;5721;0;20;41;23;6;0;15;1672;16;32;13;17;0;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;0;0;0;14;0;48;0;567849
sample-29;0;3189;14664;0;1005;289;415723;566;0;0;1079;5481;0;19;45;18;6;0;13;1670;17;34;11;17;0;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;0;0;0;14;0;60;0;556082
sample-30;0;1969;14629;0;925;279;394880;398;40;0;1029;5123;0;0;38;19;4;0;13;1636;15;32;14;18;0;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;0;0;0;12;0;59;0;578869
sample-31;11871;2483;14168;0;1036;0;426005;510;42;0;976;5400;0;32;42;21;5;0;12;1551;16;29;12;18;0;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;0;0;0;12;0;59;0;535698
sample-32;0;2696;14329;0;1052;301;397857;360;53;0;1015;5383;0;0;38;18;4;0;12;1661;17;36;13;14;0;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;0;0;0;13;0;44;0;575082
sample-33;11686;2328;13677;0;923;216;382794;605;56;0;877;4927;0;0;34;15;0;0;10;1571;15;31;11;19;0;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;0;0;0;13;0;42;0;580147
sample-34;0;3105;13677;0;1235;148;390844;688;0;0;1183;7199;0;22;26;22;5;0;13;1499;16;36;13;15;0;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;0;0;7;13;0;43;0;580191
sample-35;0;2667;14870;0;1195;207;454889;963;69;0;1710;9275;0;38;43;29;6;0;11;1610;22;27;16;20;0;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;0;0;0;15;0;55;9;512257
sample-36;0;2893;13299;0;1059;122;370702;1012;0;0;1228;7363;0;26;26;25;7;0;11;1512;15;35;11;14;0;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;0;0;0;13;0;44;0;600584
sample-37;11531;4402;21102;310;1536;533;395338;1117;61;0;1952;12001;0;0;45;38;9;0;20;1689;20;39;15;20;0;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;0;0;0;24;0;52;0;548147
sample-38;0;4351;18290;246;1285;462;369884;1118;54;0;1699;10152;0;22;37;26;8;0;14;1538;16;32;14;16;0;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;0;0;0;17;0;43;0;590676
sample-39;12752;4119;19155;264;1284;460;424741;1210;62;0;2147;12478;0;35;48;35;9;0;15;1655;22;32;17;22;0;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;0;0;9;19;0;59;0;519352
sample-40;0;6862;22414;0;1669;605;347391;1741;47;0;630;11618;0;0;38;28;0;0;16;1517;16;41;13;15;0;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;0;0;7;13;0;53;0;605268
sample-41;10773;5513;22037;0;1187;592;341385;1663;65;0;589;11567;0;17;28;29;3;0;12;1480;16;46;10;12;0;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;0;0;0;9;0;35;0;602930
sample-42;0;5939;21529;0;1065;498;350113;1739;73;0;614;11803;0;0;38;27;6;0;14;1518;17;44;12;14;0;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;0;0;0;7;0;47;0;604884
sample-43;13457;7574;24640;0;1446;507;325498;2058;0;0;563;14630;0;0;33;28;5;0;13;1309;15;46;12;13;0;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;0;0;8;8;0;40;0;608098
sample-44;0;7205;26025;0;1549;545;359895;2618;0;0;667;16641;0;0;34;30;6;0;16;1314;15;42;12;17;0;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;0;0;8;9;0;51;0;583300
sample-45;0;7270;24913;172;1086;517;322637;2290;42;0;629;16012;0;0;27;35;3;0;13;1363;16;49;9;9;0;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;0;0;0;9;0;44;0;622852
sample-46;0;4216;20913;0;949;456;356248;1497;55;0;780;10995;0;0;39;23;7;0;13;1571;19;44;12;15;0;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;0;0;0;7;0;43;0;602098
sample-47;0;4891;23285;0;924;476;388168;1863;63;0;785;12692;0;0;43;33;5;0;12;1555;18;40;12;17;0;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;0;0;9;10;0;43;0;565056
sample-48;0;4393;21519;0;943;448;372307;1555;51;0;762;11814;0;0;41;29;6;0;11;1558;19;45;14;14;0;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;0;0;0;8;0;49;0;584415
sample-49;0;1328;8787;0;856;0;385338;346;0;0;972;3671;0;0;33;17;4;0;10;1611;19;34;11;16;0;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;0;0;0;10;0;41;0;596897
sample-50;0;0;8598;0;750;0;398319;493;42;0;1276;4139;0;21;37;15;4;0;11;1673;19;38;11;11;0;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;22;0;0;13;0;42;0;584466
sample-51;0;1669;8693;0;713;0;392488;508;0;0;1214;4080;0;19;32;17;8;0;10;1650;18;39;9;10;0;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;0;0;0;7;0;45;0;588773
sample-52;0;1283;7263;0;513;0;414451;297;0;0;1060;3058;0;30;35;18;5;0;10;1781;27;34;14;19;0;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;0;0;0;8;0;53;0;570042
sample-53;0;0;7591;0;507;0;448221;390;0;0;986;2953;0;21;40;12;4;0;10;1783;28;30;14;16;0;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;0;0;0;11;0;56;0;537327
sample-54;0;1369;6965;0;458;0;418577;263;0;0;989;2751;0;31;30;14;4;0;7;1759;23;33;10;17;0;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;0;0;0;8;0;52;0;566638
sample-55;0;1627;18186;0;576;539;371036;1047;43;0;1720;10351;0;23;40;29;6;0;10;1585;18;41;9;10;0;0;0;0;NaN;NaN;NaN;NaN;NaN;NaN;0;0;0;19;0;41;0;593042
