Sampe-ID,Mg Concentration,Mg Error 1s,Al Concentration,Al Error 1s,Si Concentration,Si Error 1s,P Concentration,P Error 1s,S Concentration,S Error 1s,K Concentration,K Error 1s,Ca Concentration,Ca Error 1s,Ti Concentration,Ti Error 1s,V Concentration,V Error 1s,Cr Concentration,Cr Error 1s,Mn Concentration,Mn Error 1s,Fe Concentration,Fe Error 1s,Co Concentration,Co Error 1s,Ni Concentration,Ni Error 1s,Cu Concentration,Cu Error 1s,Zn Concentration,Zn Error 1s,As Concentration,As Error 1s,Se Concentration,Se Error 1s,Rb Concentration,Rb Error 1s,Sr Concentration,Sr Error 1s,Y Concentration,Y Error 1s,Zr Concentration,Zr Error 1s,Nb Concentration,Nb Error 1s,Mo Concentration,Mo Error 1s,Ag Concentration,Ag Error 1s,Cd Concentration,Cd Error 1s,Sn Concentration,Sn Error 1s,Sb Concentration,Sb Error 1s,Ba Concentration,Ba Error 1s,La Concentration,La Error 1s,Ce Concentration,Ce Error 1s,Pr Concentration,Pr Error 1s,Nd Concentration,Nd Error 1s,Ta Concentration,Ta Error 1s,W Concentration,W Error 1s,Au Concentration,Au Error 1s,Hg Concentration,Hg Error 1s,Pb Concentration,Pb Error 1s,Bi Concentration,Bi Error 1s,Th Concentration,Th Error 1s,U Concentration,U Error 1s,LE Concentration,LE Error 1s
CR_MC06_0-1cm,NaN,NaN,NaN,NaN,NaN,NaN,0,1523,1979,104,14142,107,15640,97,3355,24,82,2,80,3,3211,18,45867,246,0,82,134,6,173,5,92,3,14,1,0,1,94,1,296,15,72,8,361,15,17,4,0,16,0,14,0,16,0,33,0,34,314,34,0,189,0,337,0,433,0,1130,0,80,0,16,0,4,0,5,29,2,0,13,0,27,0,24,NaN,NaN
CR_MC06_1-2cm,NaN,NaN,NaN,NaN,NaN,NaN,1953,505,1446,94,14759,109,15334,95,3394,24,80,2,81,3,2962,17,42264,228,0,78,135,6,152,4,88,3,10,1,0,1,91,1,333,16,84,8,429,17,23,4,0,16,0,13,0,17,0,32,0,33,385,34,0,185,0,339,0,429,0,1134,0,83,0,15,0,4,0,5,29,2,0,13,37,10,0,22,NaN,NaN
CR_MC06_2-3cm,NaN,NaN,NaN,NaN,NaN,NaN,0,2023,1959,128,19964,159,22447,151,4683,36,124,3,122,4,4133,26,62551,410,0,118,227,10,200,6,116,4,15,2,0,2,97,2,370,22,93,11,507,24,17,5,0,23,0,18,0,22,0,42,0,43,382,44,0,234,0,422,0,553,0,1473,0,119,23,7,0,5,0,7,33,2,0,17,0,34,0,30,NaN,NaN
CR_MC08_0-1cm,NaN,NaN,NaN,NaN,NaN,NaN,0,7922,3575,290,2507,67,713107,3900,245,6,28,1,0,6,316,5,1797,29,22,7,0,18,25,3,14,2,5,1,0,2,12,1,2719,76,21,4,35,11,0,7,0,12,0,13,0,16,0,30,0,33,379,35,0,188,0,338,0,438,0,1168,0,73,0,17,0,5,0,6,7,2,0,17,0,43,0,33,NaN,NaN
CR_MC08_1-2cm,NaN,NaN,NaN,NaN,NaN,NaN,0,7951,3046,289,2503,67,741680,4030,263,7,32,1,0,6,332,5,1901,29,0,21,0,18,20,3,15,2,5,1,0,2,11,1,2883,82,19,4,0,35,0,7,0,14,0,13,0,16,0,31,0,33,432,36,0,190,0,345,0,443,0,1164,0,80,0,16,0,5,6,2,8,2,0,17,0,38,0,39,NaN,NaN
CR_MC08_2-3cm,NaN,NaN,NaN,NaN,NaN,NaN,0,7788,3563,287,2352,66,711447,3854,251,6,31,1,0,6,301,5,1775,28,0,20,0,18,25,3,13,2,4,1,0,2,9,1,2605,71,25,4,32,11,0,6,0,12,0,13,0,15,29,10,0,31,373,33,0,177,0,318,0,415,0,1123,0,62,0,16,0,5,0,6,7,1,0,16,0,41,0,31,NaN,NaN
CR_MC22_0-1cm,NaN,NaN,NaN,NaN,NaN,NaN,0,4547,4558,214,19834,163,209803,1195,3392,29,146,3,66,4,12224,72,73101,448,0,122,405,11,355,8,171,5,28,2,0,2,84,2,1450,49,147,11,225,14,18,4,21,6,0,14,0,19,0,33,0,35,857,46,0,200,0,366,0,483,0,1269,0,82,25,8,0,6,0,7,74,3,0,17,0,39,0,32,NaN,NaN
CR_MC22_1-2cm,NaN,NaN,NaN,NaN,NaN,NaN,0,4968,4151,221,19937,167,232206,1351,3396,30,140,3,62,4,12285,74,74813,473,0,127,397,11,362,8,175,5,27,2,0,2,76,2,1545,55,175,13,194,15,0,14,21,6,0,16,0,20,0,37,0,39,768,47,0,217,0,396,0,517,0,1365,0,96,0,23,0,6,0,8,70,3,0,17,0,39,0,33,NaN,NaN
CR_MC22_2-3cm,NaN,NaN,NaN,NaN,NaN,NaN,0,5428,3843,234,20518,176,275882,1645,3641,32,154,3,78,4,11986,74,78409,532,0,140,460,13,389,9,187,6,25,2,0,2,71,2,1610,60,271,17,204,16,0,16,0,20,0,15,0,21,0,38,0,40,798,50,0,226,0,404,0,530,0,1406,0,96,0,25,0,6,0,8,65,3,0,19,0,42,0,37,NaN,NaN
CR_MC25_0-1cm,NaN,NaN,NaN,NaN,NaN,NaN,0,8023,3419,294,2575,69,732895,4031,221,6,30,1,0,6,548,6,2717,38,0,26,0,21,29,4,16,2,4,1,0,2,12,1,3159,99,25,5,44,14,0,7,0,14,0,15,0,19,0,35,0,36,280,38,0,209,0,374,0,498,0,1304,0,76,0,18,0,6,0,6,10,2,0,19,0,52,0,35,NaN,NaN
CR_MC25_1-2cm,NaN,NaN,NaN,NaN,NaN,NaN,0,7884,3740,293,2455,67,728885,3983,230,6,31,1,0,6,546,6,2457,35,0,24,0,19,29,3,14,2,7,1,0,2,11,1,3040,91,21,5,44,13,0,8,0,14,0,15,0,18,0,33,0,36,396,37,0,200,0,360,0,470,0,1242,0,81,0,17,0,5,0,6,9,2,0,18,0,43,0,37,NaN,NaN
CR_MC25_2-3cm,NaN,NaN,NaN,NaN,NaN,NaN,0,8247,3111,299,2562,70,756573,4210,242,7,30,1,0,6,546,6,2738,39,0,27,0,21,31,4,16,2,5,1,0,2,12,1,3306,106,28,6,0,42,0,9,0,15,0,16,0,19,0,35,0,38,355,40,0,216,0,391,0,510,0,1361,0,79,0,19,0,6,0,7,11,2,0,19,0,48,0,36,NaN,NaN
CR_MC32_0-1cm,NaN,NaN,NaN,NaN,NaN,NaN,0,7460,3607,279,3655,72,660238,3572,419,8,35,1,9,2,537,6,5811,58,0,35,0,18,42,4,23,2,0,4,0,2,14,1,3008,91,17,5,49,13,0,6,0,14,0,15,0,18,0,35,0,37,484,40,0,207,0,379,0,492,0,1275,0,76,0,17,6,2,0,6,13,2,0,17,0,46,0,36,NaN,NaN
CR_MC32_1-2cm,NaN,NaN,NaN,NaN,NaN,NaN,0,7434,3616,275,3627,71,663636,3531,430,8,37,1,9,2,511,6,5194,51,0,32,0,17,38,3,27,2,0,4,0,2,14,1,2766,76,13,4,36,11,0,7,0,13,0,14,0,16,0,30,0,33,475,36,0,186,0,331,0,433,0,1137,0,71,0,16,0,5,6,2,13,2,0,16,0,39,0,30,NaN,NaN
CR_MC32_2-3cm,NaN,NaN,NaN,NaN,NaN,NaN,0,7451,3831,278,3725,72,666473,3559,434,8,38,1,7,2,528,6,5687,56,0,34,20,6,36,3,25,2,4,1,0,2,14,1,2811,81,19,5,53,12,0,7,0,13,0,13,0,17,0,32,0,35,413,36,0,191,0,343,0,455,0,1181,0,80,0,17,0,5,0,6,11,2,0,17,0,42,0,32,NaN,NaN
