Sampe-ID,Mg Concentration,Mg Error 1s,Al Concentration,Al Error 1s,Si Concentration,Si Error 1s,P Concentration,P Error 1s,S Concentration,S Error 1s,K Concentration,K Error 1s,Ca Concentration,Ca Error 1s,Ti Concentration,Ti Error 1s,V Concentration,V Error 1s,Cr Concentration,Cr Error 1s,Mn Concentration,Mn Error 1s,Fe Concentration,Fe Error 1s,Co Concentration,Co Error 1s,Ni Concentration,Ni Error 1s,Cu Concentration,Cu Error 1s,Zn Concentration,Zn Error 1s,As Concentration,As Error 1s,Se Concentration,Se Error 1s,Rb Concentration,Rb Error 1s,Sr Concentration,Sr Error 1s,Y Concentration,Y Error 1s,Zr Concentration,Zr Error 1s,Nb Concentration,Nb Error 1s,Mo Concentration,Mo Error 1s,Ag Concentration,Ag Error 1s,Cd Concentration,Cd Error 1s,Sn Concentration,Sn Error 1s,Sb Concentration,Sb Error 1s,Ba Concentration,Ba Error 1s,La Concentration,La Error 1s,Ce Concentration,Ce Error 1s,Pr Concentration,Pr Error 1s,Nd Concentration,Nd Error 1s,Ta Concentration,Ta Error 1s,W Concentration,W Error 1s,Au Concentration,Au Error 1s,Hg Concentration,Hg Error 1s,Pb Concentration,Pb Error 1s,Bi Concentration,Bi Error 1s,Th Concentration,Th Error 1s,U Concentration,U Error 1s,LE Concentration,LE Error 1s
CR_MC45_1-2cm,0,6921,4351,423,18290,184,246,59,1285,28,462,26,369884,1260,1118,81,54,12,0,157,1699,35,10152,73,0,267,22,6,37,4,26,2,8,1,0,23,14,1,1538,7,16,1,32,2,14,1,16,2,0,1036,0,1208,0,1831,0,2361,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,407,0,180,0,198,17,2,0,618,43,5,0,402,590676,1407
CR_MC45_2-3cm,12752,3794,4119,455,19155,210,264,64,1284,30,460,29,424741,2159,1210,91,62,13,0,169,2147,43,12478,100,0,319,35,7,48,4,35,3,9,1,0,26,15,1,1655,10,22,1,32,2,17,2,22,2,0,1106,0,1280,0,1923,0,2444,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,444,0,189,9,2,19,2,0,696,59,5,0,463,519352,2558
CR_MC59_0-1cm,0,7288,6862,448,22414,204,0,298,1669,29,605,26,347391,1201,1741,90,47,12,0,157,630,22,11618,78,0,277,0,96,38,4,28,2,0,39,0,23,16,1,1517,7,16,1,41,2,13,1,15,2,0,1019,0,1189,0,1807,0,2323,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,404,0,173,7,2,13,2,0,614,53,5,0,399,605268,1381
CR_MC59_1-2cm,10773,3474,5513,429,22037,214,0,291,1187,27,592,26,341385,1663,1663,87,65,12,0,153,589,22,11567,87,0,273,17,5,28,3,29,2,3,1,0,24,12,1,1480,9,16,1,46,2,10,1,12,2,0,1025,0,1212,0,1846,0,2389,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,377,0,163,0,174,9,2,0,589,35,5,0,387,602930,2514
CR_MC59_2-3cm,0,6927,5939,431,21529,197,0,291,1065,27,498,26,350113,1198,1739,89,73,12,0,153,614,22,11803,78,0,280,0,97,38,4,27,2,6,1,0,23,14,1,1518,7,17,1,44,2,12,1,14,2,0,1024,0,1193,0,1822,0,2335,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,390,0,168,0,193,7,2,0,605,47,5,0,388,604884,1368
CR_MC60_0-1cm,13457,3150,7574,418,24640,219,0,283,1446,28,507,25,325498,1503,2058,91,0,92,0,141,563,21,14630,98,0,300,0,92,33,3,28,2,5,1,0,21,13,1,1309,8,15,1,46,2,12,1,13,2,0,988,0,1150,0,1764,0,2271,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,373,0,162,8,2,8,2,0,564,40,4,0,360,608098,2348
CR_MC60_1-2cm,0,6712,7205,440,26025,220,0,290,1549,30,545,28,359895,1268,2618,107,0,106,0,163,667,24,16641,102,0,347,0,106,34,4,30,3,6,1,0,24,16,1,1314,7,15,1,42,2,12,1,17,2,0,1070,0,1263,0,1919,0,2479,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,408,0,177,8,2,9,2,0,624,51,5,0,399,583300,1479
CR_MC60_2-3cm,0,6591,7270,412,24913,206,172,55,1086,26,517,25,322637,1114,2290,94,42,12,0,147,629,22,16012,93,0,314,0,93,27,3,35,3,3,1,0,23,13,1,1363,7,16,1,49,2,9,1,9,2,0,996,0,1171,0,1802,0,2301,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,380,0,161,0,187,9,2,0,572,44,4,0,363,622852,1320
CR_MC65_0-1cm,0,6499,4216,404,20913,193,0,285,949,26,456,26,356248,1238,1497,87,55,12,0,152,780,25,10995,76,0,281,0,101,39,4,23,2,7,1,0,22,13,1,1571,8,19,1,44,2,12,1,15,2,0,1031,0,1205,0,1839,0,2348,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,415,0,179,0,203,7,2,0,619,43,5,0,409,602098,1395
CR_MC65_1-2cm,0,6358,4891,416,23285,203,0,278,924,27,476,27,388168,1312,1863,95,63,13,0,158,785,26,12692,85,0,304,0,107,43,4,33,3,5,1,0,25,12,1,1555,8,18,1,40,2,12,1,17,2,0,1061,0,1237,0,1890,0,2407,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,416,0,179,9,2,10,2,0,635,43,5,0,423,565056,1477
CR_MC65_2-3cm,0,6309,4393,406,21519,194,0,280,943,26,448,26,372307,1267,1555,89,51,12,0,152,762,25,11814,80,0,293,0,101,41,4,29,3,6,1,0,23,11,1,1558,8,19,1,45,2,14,1,14,2,0,1039,0,1207,0,1825,0,2346,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,401,0,169,0,194,8,2,0,626,49,5,0,406,584415,1424
CR_MC74_0-1cm,0,6000,1328,374,8787,132,0,290,856,25,0,217,385338,1300,346,65,0,86,0,149,972,27,3671,41,0,166,0,103,33,4,17,2,4,1,0,25,10,1,1611,8,19,1,34,2,11,1,16,2,0,1060,0,1230,0,1878,0,2406,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,399,0,172,0,192,10,2,0,631,41,5,0,419,596897,1371
CR_MC74_1-2cm,0,5983,0,1007,8598,131,0,288,750,24,0,216,398319,1329,493,69,42,11,0,143,1276,31,4139,44,0,179,21,6,37,4,15,2,4,1,0,25,11,1,1673,8,19,1,38,2,11,1,11,2,0,1085,0,1269,0,1936,0,2479,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22,6,0,175,0,195,13,2,0,642,42,5,0,428,584466,1387
CR_MC74_2-3cm,0,6102,1669,378,8693,132,0,272,713,24,0,217,392488,1318,508,69,0,90,0,157,1214,30,4080,44,0,174,19,6,32,4,17,2,8,1,0,25,10,1,1650,8,18,1,39,2,9,1,10,2,0,1082,0,1277,0,1968,0,2534,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,405,0,178,0,195,7,2,0,639,45,5,0,426,588773,1391
